track_pt,track_eta,track_phi,det_raw_id
779.293,0.869708,-2.56933,576880640 581074944 585269248 637567901 637567933 637569949 637602749 637637597 
723.469,-0.869728,0.572147,575176704 579371008 583565312 637567149 637569165 637601965 637636813 
192.595,-0.894271,-2.89729,576487424 580943872 584876032 637567757 637567917 637569805 637602733 637637453 
188.649,0.894201,0.244436,575045632 579502080 583434240 637567005 637569053 637636701 
777.507,-1.62153,1.83173,604050008 604050016 604050520 604050528 604051032 604051040 604054064 604058712 604058720 604062808 604062816 637583588 637587684 637616324 637616356 637620420 637620452 637649028 637653124 687884832 687885088 687901216 687901472 
836.258,1.6211,-1.30978,604017384 604017392 604017896 604017904 604018408 604018416 604026088 604026096 604030184 604030192 637583974 637588070 637616710 637616742 637620806 637620838 637649414 637653510 687889442 687889698 687905826 687906082 
584.543,0.656328,-1.7142,577372160 581566464 585793536 589987840 637568221 637568253 637633689 637633721 637635737 637635769 
583.835,-0.656568,1.42738,575733760 579928064 584089600 588283904 637567437 637571565 637632913 637632945 637634961 637634993 
307.405,-2.37899,2.6803,604050048 604050056 604050560 604050568 604054080 604054088 604058176 604058184 604062272 604062280 
600.03,2.37913,-0.461389,604017424 604017432 604017936 604017944 604021384 604021392 604025480 604025488 604029576 604029584 
416.181,0.206422,1.40194,575766528 579960832 584155136 637567381 637567413 637567445 637569429 637569461 
428.101,-0.20667,-1.73995,581533696 585695232 589889536 637568181 637568241 637570229 
152.073,-0.408754,-2.75214,576782336 580976640 585170944 589365248 637567889 637567921 637567953 637569937 637569969 637633521 
157.208,0.408756,0.389531,575275008 579469312 583663616 587857920 637567129 637567161 637567193 637569177 637569209 637632761 
464.264,-0.984559,-1.51088,577273856 581468160 604051680 637568141 637570189 637579816 637612552 637633709 637635757 
449.07,0.984532,1.63065,575832064 580026368 604018768 637567389 637569437 637579434 637612170 637632957 637635005 
188.749,-0.0620138,-0.374782,577863680 582057984 586252288 587563008 590446592 637601205 637632629 637633941 637633973 637635989 637636021 637638101 
186.824,0.0618421,2.76688,576290816 580485120 584679424 588873728 637600437 637633173 637633205 637633269 637635221 637635253 637637333 637637365 
917.225,-0.42228,-0.728863,577568768 582025216 586219520 590413824 637568273 637568433 637568465 637570481 637634001 637634033 
889.49,0.422183,2.41278,576061440 580517888 584712192 588644352 637567513 637567673 637569721 637600441 637633241 637637241 
194.064,-0.483555,-2.41583,576782336 580976640 585170944 589365248 637567889 637569937 637600689 637637585 637637617 
208.497,0.483773,0.725567,575275008 579469312 583663616 588120064 637567129 637569177 637599929 637632889 637634745 637636825 
786.103,-2.03729,-0.88621,604050176 604050688 604054144 604058240 604062336 687886144 687890208 687906592 
